route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
17,14,3782,"RvLN WATERFRONT ENTER CENTER",0,"343RL005",1992
17,14,3783,"RvLN WATERFRONT ENTER CENTER",0,"343RL014",1992
17,14,3784,"RvLN WATERFRONT ENTER CENTER",0,"343RL011",1992
17,14,3785,"RvLN WATERFRONT ENTER CENTER",0,"343RL003",1992
17,14,3786,"RvLN WATERFRONT ENTER CENTER",0,"343RL013",1992
17,14,3787,"RvLN WATERFRONT ENTER CENTER",0,"343RL010",1992
17,14,3788,"RvLN WATERFRONT ENTER CENTER",0,"343RL005",1992
17,14,3789,"RvLN WATERFRONT ENTER CENTER",0,"343RL014",1992
17,14,3790,"RvLN WATERFRONT ENTER CENTER",0,"343RL011",1992
17,14,3791,"RvLN WATERFRONT ENTER CENTER",0,"343RL003",1992
17,14,3792,"RvLN WATERFRONT ENTER CENTER",0,"343RL013",1992
17,14,3793,"RvLN WATERFRONT ENTER CENTER",0,"343RL010",1992
17,14,3794,"RvLN WATERFRONT ENTER CENTER",0,"343RL005",1992
17,14,3795,"RvLN WATERFRONT ENTER CENTER",0,"343RL014",1992
17,14,3796,"RvLN WATERFRONT ENTER CENTER",0,"343RL011",1992
17,14,3797,"RvLN WATERFRONT ENTER CENTER",0,"343RL003",1992
17,14,3798,"RvLN WATERFRONT ENTER CENTER",0,"343RL015",1992
17,14,3799,"RvLN WATERFRONT ENTER CENTER",0,"343RL017",1992
17,14,3800,"RvLN WATERFRONT ENTER CENTER",0,"343RL013",1992
17,14,3801,"RvLN WATERFRONT ENTER CENTER",0,"343RL019",1992
17,14,3802,"RvLN WATERFRONT ENTER CENTER",0,"343RL010",1992
17,14,3803,"RvLN WATERFRONT ENTER CENTER",0,"343RL020",1992
17,14,3804,"RvLN WATERFRONT ENTER CENTER",0,"343RL005",1992
17,14,3805,"RvLN WATERFRONT ENTER CENTER",0,"343RL016",1992
17,14,3806,"RvLN WATERFRONT ENTER CENTER",0,"343RL014",1992
17,14,3807,"RvLN WATERFRONT ENTER CENTER",0,"343RL003",1992
17,14,3808,"RvLN WATERFRONT ENTER CENTER",0,"343RL022",1992
17,14,3809,"RvLN WATERFRONT ENTER CENTER",0,"343RL021",1992
17,14,3810,"RvLN WATERFRONT ENTER CENTER",0,"343RL015",1992
17,14,3811,"RvLN WATERFRONT ENTER CENTER",0,"343RL013",1992
17,14,3812,"RvLN WATERFRONT ENTER CENTER",0,"343RL010",1992
17,14,3813,"RvLN WATERFRONT ENTER CENTER",0,"343RL020",1992
17,14,3814,"RvLN WATERFRONT ENTER CENTER",0,"343RL014",1992
17,14,3815,"RvLN WATERFRONT ENTER CENTER",0,"343RL008",1993
17,14,3816,"RvLN CAMDEN EXPRESS",0,"343RL023",1994
17,14,3817,"RvLN BURLINGTON SOUTH",0,"343RL022",1995
17,14,3818,"RvLN WATERFRONT ENTER CENTER",0,"343RL001",1996
