service_id,date,exception_type
14,20240503,1
14,20240506,1
14,20240507,1
14,20240508,1
14,20240509,1
14,20240510,1
14,20240513,1
14,20240514,1
14,20240515,1
14,20240516,1
14,20240517,1
14,20240520,1
14,20240521,1
14,20240522,1
14,20240523,1
14,20240524,1
14,20240527,1
14,20240528,1
14,20240529,1
14,20240530,1
14,20240531,1
14,20240603,1
14,20240604,1
14,20240605,1
14,20240606,1
14,20240607,1
14,20240610,1
14,20240611,1
14,20240612,1
14,20240613,1
14,20240614,1
14,20240617,1
14,20240618,1
14,20240619,1
14,20240620,1
14,20240621,1
14,20240624,1
14,20240625,1
14,20240626,1
14,20240627,1
14,20240628,1
14,20240701,1
14,20240702,1
14,20240703,1
14,20240704,1
14,20240705,1
14,20240708,1
14,20240709,1
14,20240710,1
14,20240711,1
14,20240712,1
14,20240715,1
14,20240716,1
14,20240717,1
14,20240718,1
14,20240719,1
14,20240722,1
14,20240723,1
14,20240724,1
14,20240725,1
14,20240726,1
14,20240729,1
14,20240730,1
14,20240731,1
14,20240801,1
14,20240802,1
14,20240805,1
15,20240209,1
15,20240210,1
15,20240216,1
15,20240217,1
15,20240218,1
15,20240223,1
15,20240224,1
15,20240301,1
15,20240302,1
15,20240308,1
15,20240309,1
15,20240315,1
15,20240316,1
15,20240322,1
15,20240323,1
15,20240329,1
15,20240330,1
15,20240405,1
15,20240406,1
15,20240412,1
15,20240413,1
15,20240419,1
15,20240420,1
15,20240426,1
15,20240427,1
15,20240503,1
15,20240504,1
15,20240510,1
15,20240511,1
15,20240517,1
16,20240208,1
16,20240211,1
16,20240212,1
16,20240213,1
16,20240214,1
16,20240215,1
16,20240219,1
16,20240220,1
16,20240221,1
16,20240222,1
16,20240225,1
16,20240226,1
16,20240227,1
16,20240228,1
16,20240229,1
16,20240303,1
16,20240304,1
16,20240305,1
16,20240306,1
16,20240307,1
16,20240310,1
16,20240311,1
16,20240312,1
16,20240313,1
16,20240314,1
16,20240317,1
16,20240318,1
16,20240319,1
16,20240320,1
16,20240321,1
16,20240324,1
16,20240325,1
16,20240328,1
16,20240331,1
16,20240401,1
16,20240402,1
16,20240403,1
16,20240404,1
16,20240407,1
16,20240408,1
16,20240409,1
16,20240410,1
16,20240411,1
16,20240414,1
16,20240415,1
16,20240416,1
16,20240417,1
16,20240418,1
16,20240421,1
16,20240422,1
16,20240423,1
16,20240424,1
16,20240425,1
16,20240428,1
16,20240429,1
16,20240430,1
16,20240501,1
16,20240502,1
16,20240505,1
16,20240506,1
16,20240507,1
16,20240508,1
16,20240509,1
16,20240512,1
16,20240513,1
16,20240514,1
16,20240515,1
16,20240516,1
17,20240208,1
17,20240209,1
17,20240210,1
17,20240211,1
17,20240212,1
17,20240213,1
17,20240214,1
17,20240215,1
17,20240216,1
17,20240217,1
17,20240218,1
17,20240219,1
17,20240220,1
17,20240221,1
17,20240222,1
17,20240223,1
17,20240224,1
17,20240225,1
17,20240226,1
17,20240227,1
17,20240228,1
17,20240229,1
17,20240301,1
17,20240302,1
17,20240303,1
17,20240304,1
17,20240305,1
17,20240306,1
17,20240307,1
17,20240308,1
17,20240309,1
17,20240310,1
17,20240311,1
17,20240312,1
17,20240313,1
17,20240314,1
17,20240315,1
17,20240316,1
17,20240317,1
17,20240318,1
17,20240319,1
17,20240320,1
17,20240321,1
17,20240322,1
17,20240323,1
17,20240324,1
17,20240329,1
17,20240330,1
17,20240331,1
17,20240401,1
17,20240402,1
17,20240403,1
17,20240404,1
17,20240405,1
17,20240406,1
17,20240407,1
17,20240408,1
17,20240409,1
17,20240410,1
17,20240411,1
17,20240412,1
17,20240413,1
17,20240414,1
17,20240415,1
17,20240416,1
17,20240417,1
17,20240418,1
17,20240419,1
17,20240420,1
17,20240421,1
17,20240422,1
17,20240423,1
17,20240424,1
17,20240425,1
17,20240426,1
17,20240427,1
17,20240428,1
17,20240429,1
17,20240430,1
17,20240501,1
17,20240502,1
17,20240503,1
17,20240504,1
17,20240505,1
17,20240506,1
17,20240507,1
17,20240508,1
17,20240509,1
17,20240510,1
17,20240511,1
17,20240512,1
17,20240513,1
17,20240514,1
17,20240515,1
17,20240516,1
17,20240517,1
18,20240325,1
19,20240326,1
19,20240327,1
19,20240328,1
20,20240209,1
20,20240216,1
20,20240223,1
20,20240301,1
20,20240308,1
20,20240315,1
20,20240322,1
20,20240329,1
20,20240405,1
20,20240412,1
20,20240419,1
20,20240426,1
20,20240503,1
20,20240510,1
20,20240517,1
21,20240210,1
21,20240217,1
21,20240218,1
21,20240224,1
21,20240302,1
21,20240309,1
21,20240316,1
21,20240323,1
21,20240330,1
21,20240406,1
21,20240413,1
21,20240420,1
21,20240427,1
21,20240504,1
21,20240511,1
22,20240209,1
22,20240210,1
22,20240211,1
22,20240216,1
22,20240217,1
22,20240218,1
22,20240219,1
22,20240223,1
22,20240224,1
22,20240225,1
22,20240301,1
22,20240302,1
22,20240303,1
22,20240308,1
22,20240309,1
22,20240310,1
22,20240315,1
22,20240316,1
22,20240317,1
22,20240322,1
22,20240323,1
22,20240324,1
22,20240329,1
22,20240330,1
22,20240331,1
22,20240405,1
22,20240406,1
22,20240407,1
22,20240412,1
22,20240413,1
22,20240414,1
22,20240419,1
22,20240420,1
22,20240421,1
22,20240426,1
22,20240427,1
22,20240428,1
22,20240503,1
22,20240504,1
22,20240505,1
22,20240510,1
22,20240511,1
22,20240512,1
22,20240517,1
23,20240210,1
23,20240217,1
23,20240224,1
23,20240302,1
23,20240309,1
23,20240316,1
23,20240323,1
23,20240330,1
23,20240406,1
23,20240413,1
23,20240420,1
23,20240427,1
23,20240504,1
23,20240511,1
23,20240518,1
23,20240525,1
23,20240601,1
23,20240608,1
23,20240615,1
23,20240622,1
23,20240629,1
23,20240706,1
23,20240713,1
23,20240720,1
23,20240727,1
23,20240803,1
24,20240211,1
24,20240218,1
24,20240219,1
24,20240225,1
24,20240303,1
24,20240310,1
24,20240317,1
24,20240324,1
24,20240331,1
24,20240407,1
24,20240414,1
24,20240421,1
24,20240428,1
24,20240505,1
24,20240512,1
24,20240519,1
24,20240526,1
24,20240602,1
24,20240609,1
24,20240616,1
24,20240623,1
24,20240630,1
24,20240707,1
24,20240714,1
24,20240721,1
24,20240728,1
24,20240804,1
